 q(1:3)   w(Ry)   eps    epsi  --- NO LFC
  0.00000000  0.00000000  0.01000000    0.0000D+00  0.562130804180858E+01 -0.287555241162780E-19    0.177894538524216E+00  0.910010740318975E-21
  0.00000000  0.00000000  0.01000000    0.2082D-02  0.562136987653363E+01 -0.287506268660219E-19    0.177892581695165E+00  0.909835743045760E-21
  0.00000000  0.00000000  0.01000000    0.6420D-02  0.562189598328275E+01 -0.287089531420981E-19    0.177875934199707E+00  0.908346912719728E-21
  0.00000000  0.00000000  0.01000000    0.1112D-01  0.562307232121532E+01 -0.286157310085913E-19    0.177838722832551E+00  0.905018602781872E-21
  0.00000000  0.00000000  0.01000000    0.1621D-01  0.562505992593982E+01 -0.284580840412898E-19    0.177775883842326E+00  0.899396825902119E-21
  0.00000000  0.00000000  0.01000000    0.2172D-01  0.562805340788443E+01 -0.282203387049848E-19    0.177681327366063E+00  0.890934551686571E-21
  0.00000000  0.00000000  0.01000000    0.2770D-01  0.563228814542466E+01 -0.278833605110520E-19    0.177547734451822E+00  0.878972694545512E-21
  0.00000000  0.00000000  0.01000000    0.3417D-01  0.563804927763794E+01 -0.274236949087005E-19    0.177366310714288E+00  0.862716757620857E-21
  0.00000000  0.00000000  0.01000000    0.4118D-01  0.564568306449987E+01 -0.268124401258573E-19    0.177126485595342E+00  0.841207916822611E-21
  0.00000000  0.00000000  0.01000000    0.4877D-01  0.565561140760588E+01 -0.260137462927742E-19    0.176815542640565E+00  0.813286899571121E-21
  0.00000000  0.00000000  0.01000000    0.5700D-01  0.566835065792293E+01 -0.249827848830893E-19    0.176418161181022E+00  0.777548397450532E-21
  0.00000000  0.00000000  0.01000000    0.6591D-01  0.568453634010432E+01 -0.236629540480833E-19    0.175915842589485E+00  0.732282854831473E-21
  0.00000000  0.00000000  0.01000000    0.7556D-01  0.570495619813438E+01 -0.219819603406693E-19    0.175286183674296E+00  0.675401143142116E-21
  0.00000000  0.00000000  0.01000000    0.8602D-01  0.573059519064552E+01 -0.198462129849239E-19    0.174501943817699E+00  0.604335610538767E-21
  0.00000000  0.00000000  0.01000000    0.9735D-01  0.576269804825667E+01 -0.171326236901480E-19    0.173529827803926E+00  0.515907863623054E-21
  0.00000000  0.00000000  0.01000000    0.1096D+00  0.580285832280374E+01 -0.136763104518446E-19    0.172328866977548E+00  0.406148651835574E-21
  0.00000000  0.00000000  0.01000000    0.1229D+00  0.585314860567327E+01 -0.925163627197097E-20    0.170848216467754E+00  0.270047057227040E-21
  0.00000000  0.00000000  0.01000000    0.1373D+00  0.591631696858203E+01 -0.354201673751655E-20    0.169024074489314E+00  0.101192364111601E-21
  0.00000000  0.00000000  0.01000000    0.1529D+00  0.599609434850231E+01  0.390998838372708E-20    0.166775227652944E+00 -0.108752325249740E-21
  0.00000000  0.00000000  0.01000000    0.1698D+00  0.609769713181368E+01  0.137889217050874E-19    0.163996338024510E+00 -0.370850276105531E-21
  0.00000000  0.00000000  0.01000000    0.1881D+00  0.622869461214020E+01  0.271637234230524E-19    0.160547283543317E+00 -0.700156658506421E-21
  0.00000000  0.00000000  0.01000000    0.2080D+00  0.640061340431714E+01  0.457945211479684E-19    0.156235025743862E+00 -0.111781601832957E-20
  0.00000000  0.00000000  0.01000000    0.2294D+00  0.663219400353185E+01  0.727850803585141E-19    0.150779666497613E+00 -0.165473297925460E-20
  0.00000000  0.00000000  0.01000000    0.2527D+00  0.695696830706400E+01  0.114142718281761E-18    0.143740772684650E+00 -0.235834947034145E-20
  0.00000000  0.00000000  0.01000000    0.2779D+00  0.744658720409196E+01  0.555813023469279E-07    0.134289705148486E+00 -0.100233791660108E-08
  0.00000000  0.00000000  0.01000000    0.3053D+00  0.831988731834640E+01  0.128795562444823E-01    0.120193647497928E+00 -0.186065121310648E-03
  0.00000000  0.00000000  0.01000000    0.3348D+00  0.100713625744662E+02  0.427179110854878E+00    0.991131211959476E-01 -0.420390534781045E-02
  0.00000000  0.00000000  0.01000000    0.3669D+00  0.114232333511510E+02  0.351227864528009E+01    0.799798666928541E-01 -0.245912491850965E-01
  0.00000000  0.00000000  0.01000000    0.4016D+00  0.103750793468725E+02  0.740313373915025E+01    0.638668198782369E-01 -0.455721439080209E-01
  0.00000000  0.00000000  0.01000000    0.4392D+00  0.631861519185521E+01  0.103161829052514E+02    0.431751196416944E-01 -0.704905137685808E-01
  0.00000000  0.00000000  0.01000000    0.4800D+00  0.257503911301663E+01  0.774479037851457E+01    0.386569348944927E-01 -0.116266139772533E+00
  0.00000000  0.00000000  0.01000000    0.5241D+00  0.146495493289660E+01  0.548623779768186E+01    0.454321464150802E-01 -0.170142816884744E+00
  0.00000000  0.00000000  0.01000000    0.5719D+00  0.269606770597979E+01  0.268068781599585E+01    0.186516242198301E+00 -0.185452248412512E+00
  0.00000000  0.00000000  0.01000000    0.6237D+00  0.440048439958244E+01  0.419738401427286E+01    0.118988946964848E+00 -0.113497119524570E+00
  0.00000000  0.00000000  0.01000000    0.6798D+00  0.492171519304843E+01  0.544151535453658E+01    0.914249881026890E-01 -0.101080712116738E+00
  0.00000000  0.00000000  0.01000000    0.7406D+00  0.194811067446511E+01  0.100404940452369E+02    0.186232000078598E-01 -0.959833192400698E-01
